PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=286 ttl=114 time=34.1 ms
64 bytes from 8.8.8.8: icmp_seq=287 ttl=114 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=288 ttl=114 time=39.6 ms
64 bytes from 8.8.8.8: icmp_seq=289 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=290 ttl=114 time=16.8 ms
64 bytes from 8.8.8.8: icmp_seq=291 ttl=114 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=292 ttl=114 time=57.9 ms
64 bytes from 8.8.8.8: icmp_seq=293 ttl=114 time=57.7 ms
64 bytes from 8.8.8.8: icmp_seq=294 ttl=114 time=28.4 ms
64 bytes from 8.8.8.8: icmp_seq=295 ttl=114 time=60.6 ms
64 bytes from 8.8.8.8: icmp_seq=296 ttl=114 time=28.2 ms
64 bytes from 8.8.8.8: icmp_seq=297 ttl=114 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=298 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=299 ttl=114 time=40.7 ms
64 bytes from 8.8.8.8: icmp_seq=300 ttl=114 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=301 ttl=114 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=302 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=303 ttl=114 time=36.7 ms
64 bytes from 8.8.8.8: icmp_seq=304 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=305 ttl=114 time=39.9 ms
64 bytes from 8.8.8.8: icmp_seq=306 ttl=114 time=33.2 ms
64 bytes from 8.8.8.8: icmp_seq=307 ttl=114 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=308 ttl=114 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=309 ttl=114 time=26.0 ms
64 bytes from 8.8.8.8: icmp_seq=310 ttl=114 time=25.2 ms
64 bytes from 8.8.8.8: icmp_seq=311 ttl=114 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=312 ttl=114 time=35.6 ms
64 bytes from 8.8.8.8: icmp_seq=313 ttl=114 time=29.0 ms
64 bytes from 8.8.8.8: icmp_seq=314 ttl=114 time=30.2 ms
64 bytes from 8.8.8.8: icmp_seq=315 ttl=114 time=30.3 ms
64 bytes from 8.8.8.8: icmp_seq=316 ttl=114 time=40.1 ms
64 bytes from 8.8.8.8: icmp_seq=317 ttl=114 time=34.6 ms
64 bytes from 8.8.8.8: icmp_seq=318 ttl=114 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=319 ttl=114 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=320 ttl=114 time=34.5 ms
64 bytes from 8.8.8.8: icmp_seq=321 ttl=114 time=24.6 ms
64 bytes from 8.8.8.8: icmp_seq=322 ttl=114 time=27.7 ms
64 bytes from 8.8.8.8: icmp_seq=323 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=324 ttl=114 time=26.1 ms
64 bytes from 8.8.8.8: icmp_seq=325 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=326 ttl=114 time=27.4 ms
64 bytes from 8.8.8.8: icmp_seq=327 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=328 ttl=114 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=329 ttl=114 time=42.3 ms
64 bytes from 8.8.8.8: icmp_seq=330 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=331 ttl=114 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=332 ttl=114 time=31.2 ms
64 bytes from 8.8.8.8: icmp_seq=333 ttl=114 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=334 ttl=114 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=335 ttl=114 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=336 ttl=114 time=29.8 ms
64 bytes from 8.8.8.8: icmp_seq=337 ttl=114 time=40.8 ms
64 bytes from 8.8.8.8: icmp_seq=338 ttl=114 time=25.2 ms
